email_text,label,clean_email
Here is the project update you asked for.,ham,project update ask
Limited offer!!! Buy now and get 50% discount.,spam,limited offer buy   discount
Win cash prizes instantly by replying to this email.,spam,win cash prize instantly reply email
Urgent! Your account has been suspended. Verify immediately.,spam,urgent account suspend verify immediately
"Hi, please find the meeting agenda attached.",ham,hi find meeting agenda attach
Here is the project update you asked for.,ham,project update ask
Can we reschedule our meeting to tomorrow?,ham,reschedule meeting tomorrow
Hope you are doing well. Let's catch up soon.,ham,hope let catch soon
You are selected for a free gift card. Act fast.,spam,select free gift card act fast
Thank you for your support. Let me know if you need anything.,ham,thank support let know need
Win cash prizes instantly by replying to this email.,spam,win cash prize instantly reply email
Urgent! Your account has been suspended. Verify immediately.,spam,urgent account suspend verify immediately
Win cash prizes instantly by replying to this email.,spam,win cash prize instantly reply email
Thank you for your support. Let me know if you need anything.,ham,thank support let know need
Can we reschedule our meeting to tomorrow?,ham,reschedule meeting tomorrow
Win cash prizes instantly by replying to this email.,spam,win cash prize instantly reply email
Thank you for your support. Let me know if you need anything.,ham,thank support let know need
You are selected for a free gift card. Act fast.,spam,select free gift card act fast
"Hi, please find the meeting agenda attached.",ham,hi find meeting agenda attach
Win cash prizes instantly by replying to this email.,spam,win cash prize instantly reply email
You are selected for a free gift card. Act fast.,spam,select free gift card act fast
Win cash prizes instantly by replying to this email.,spam,win cash prize instantly reply email
Congratulations! You have won a free lottery. Click here to claim now.,spam,congratulation win free lottery click claim
Limited offer!!! Buy now and get 50% discount.,spam,limited offer buy   discount
You are selected for a free gift card. Act fast.,spam,select free gift card act fast
Thank you for your support. Let me know if you need anything.,ham,thank support let know need
Urgent! Your account has been suspended. Verify immediately.,spam,urgent account suspend verify immediately
Congratulations! You have won a free lottery. Click here to claim now.,spam,congratulation win free lottery click claim
Can we reschedule our meeting to tomorrow?,ham,reschedule meeting tomorrow
Thank you for your support. Let me know if you need anything.,ham,thank support let know need
Limited offer!!! Buy now and get 50% discount.,spam,limited offer buy   discount
Can we reschedule our meeting to tomorrow?,ham,reschedule meeting tomorrow
Can we reschedule our meeting to tomorrow?,ham,reschedule meeting tomorrow
Thank you for your support. Let me know if you need anything.,ham,thank support let know need
Thank you for your support. Let me know if you need anything.,ham,thank support let know need
Urgent! Your account has been suspended. Verify immediately.,spam,urgent account suspend verify immediately
You are selected for a free gift card. Act fast.,spam,select free gift card act fast
Limited offer!!! Buy now and get 50% discount.,spam,limited offer buy   discount
Urgent! Your account has been suspended. Verify immediately.,spam,urgent account suspend verify immediately
Thank you for your support. Let me know if you need anything.,ham,thank support let know need
Can we reschedule our meeting to tomorrow?,ham,reschedule meeting tomorrow
Urgent! Your account has been suspended. Verify immediately.,spam,urgent account suspend verify immediately
Congratulations! You have won a free lottery. Click here to claim now.,spam,congratulation win free lottery click claim
Here is the project update you asked for.,ham,project update ask
Limited offer!!! Buy now and get 50% discount.,spam,limited offer buy   discount
Can we reschedule our meeting to tomorrow?,ham,reschedule meeting tomorrow
Limited offer!!! Buy now and get 50% discount.,spam,limited offer buy   discount
Urgent! Your account has been suspended. Verify immediately.,spam,urgent account suspend verify immediately
Here is the project update you asked for.,ham,project update ask
Limited offer!!! Buy now and get 50% discount.,spam,limited offer buy   discount
